Title;Developer(s);Publisher(s);Release Year
Dear Boys;Kan's;Yutaka;ased
The Death and Return of Superman;Blizzard Entertainment;Sunsoft;1994
Death Brade;I'Max;I'Max;ased
Dekitate High School;C-Lab;Bullet-Proof Software;ased
Demolition Man;Virgin Interactive;Acclaim Entertainment;1995
Demon's Crest;Capcom;Capcom;1994
Dennis the Menace;Ocean Software;Ocean Software;1993
Der Langrisser;NCS;NCS;ased
Derby Jockey: Kishu Ou heno Michi;Graphic Research;Asmik Ace Entertainment;ased
Derby Jockey 2;Graphic Research;Asmik Ace Entertainment;ased
Derby Stallion II;ASCII;ASCII;ased
Derby Stallion III;ASCII;ASCII;ased
Derby Stallion '96;ASCII;ASCII;ased
Derby Stallion '98;Nintendo;Nintendo;ased
Desert Strike: Return to the Gulf;Visual Concepts;Electronic Arts;1992
Dezaemon: Kaite Tsukutte Asoberu;Athena;Athena;ased
D-Force;Asmik Ace Entertainment;Asmik Ace Entertainment;1991
Dharma Doujou;Metro;Den'Z;ased
Dig & Spike Volleyball;Tose;Hudson Soft;1993
DinoCity;Irem;Irem;1992
Dino Dini's Soccer;Eurocom;Virgin Interactive;ased
Dirt Racer;MotiveTime;Elite Systems;ased
Dirt Trax FX;Sculptured Software;Acclaim Entertainment;1995
Disney's Aladdin;Capcom;Capcom;1993
Disney's Beauty and the Beast;Probe Software;Hudson Soft;1994
Disney's Bonkers;Sun L;Capcom;1994
Disney's Pinocchio;Virgin Interactive;Nintendo;1996
Dokapon 3-2-1: Arashi wo Yobu Yujo;Asmik Ace Entertainment;Asmik Ace Entertainment;ased
Dokapon Gaiden: Honoo no Audition;Earthly Soft;Asmik Ace Entertainment;ased
Doukyuusei 2;ELF Corporation;Banpresto;ased
Dolucky's A-League Soccer;Zoom;Imagineer;ased
Dolucky no Kusayakiu;Zoom;Technōs Japan;lled
Dolucky no Puzzle Tour '94;Zoom;Imagineer;ased
Donald Duck no Mahou no Boushi;Pop House;Epoch Co.;ased
Donkey Kong Country;Rare;Nintendo;1994
Donkey Kong Country 2: Diddy's Kong Quest;Rare;Nintendo;1995
Donkey Kong Country 3: Dixie Kong's Double Trouble!;Rare;Nintendo;1996
Doom;Sculptured Software;Williams Entertainment;1995
Doom Troopers;Adrenalin Interactive;Playmates Interactive;1995
Doomsday Warrior;Telenet;Renovation Products;1993
Doraemon: Nobita to Yousei no Kuni;Pop House/SAS Sakata;Epoch Co.;ased
Doraemon 2: Nobita no Toys Land Daibouken;Pop House/SAS Sakata;Epoch Co.;ased
Doraemon 3: Nobita to Toki no Hougyoku;AIM;Epoch Co.;ased
Doraemon 4: Nobita to Tsuki no Oukoku;Agenda;Epoch Co.;ased
DoReMi Fantasy: Milon no Dokidoki Daibouken;Hudson Soft;Hudson Soft;ased
Dossun! Ganseki Battle;I'Max;I'Max;ased
Double Dragon V: The Shadow Falls;Leland Interactive Media;Tradewest;1994
Down the World: Mervil's Ambition;ASCII;ASCII;ased
Downtown Nekketsu Baseball Monogatari: Baseball de Shoufuda! Kunio-kun;Technōs Japan;Technōs Japan;ased
Dr. Mario;;Nintendo;ased
Dragon: The Bruce Lee Story;Virgin Interactive;Acclaim Entertainment;1995
Dragon Ball Z: Hyper Dimension;Tose;Bandai;ased
Dragon Ball Z: Super Saiya Densetsu;Tose;Bandai;ased
Dragon Ball Z: Super Butouden;Tose;Bandai;ased
Dragon Ball Z: Super Butouden 2;Tose;Bandai;ased
Dragon Ball Z: Super Butouden 3;Tose;Bandai;ased
Dragon Ball Z: Super Gokuden Totsugeki Hen;Tose;Bandai;ased
Dragon Ball Z: Super Gokuden Kakusei Hen;Tose;Bandai;ased
Dragon Knight 4;ELF Corporation;Banpresto;ased
Dragon Quest I & II;Chunsoft;Enix;ased
Dragon Quest III: Soshite Densetsu e...;Heartbeat;Enix;ased
Dragon Quest V: Tenkuu no Hanayome;Chunsoft;Enix;lled
Dragon Quest VI: Maboroshi no Daichi;Heartbeat;Enix;ased
Dragon Slayer: Eiyuu Densetsu;Falcom;Epoch Co.;ased
Dragon Slayer: Eiyuu Densetsu II;Falcom;Epoch Co.;ased
Dragon View;Kemco;Kemco;1994
Dragon's Earth;Human Entertainment;Human Entertainment;ased
Dragon's Lair;MotiveTime;Konami;1993
Drakkhen;Kemco;Kemco;1991
Dream Basketball: Dunk & Hoop;Human Entertainment;Human Entertainment;ased
Dream TV;Triffix;Triffix;1994
Dual Orb;I'Max;I'Max;ased
Dual Orb II;I'Max;I'Max;ased
The Duel: Test Drive II;Distinctive Software;Accolade;1992
Dungeon Master;Software Heaven /;JVC Musical Industries;1993
DunQuest: Majin Fuuin no Densetsu;Technōs Japan;Technōs Japan;ased
Dynamite: The Las Vegas;Micro Factory;Virgin Interactive;ased
Dynamic Stadium;Electronics Application;Sammy Corporation;ased
E.V.O.: Search for Eden;Almanic;Enix;1993
EarthBound;HAL Laboratory;Nintendo;1995
Earth Defense Force;Jaleco;Jaleco;1992
Earth Light;Hudson Soft;Hudson Soft;ased
Earth Light: Luna Strike;Hudson Soft;Hudson Soft;ased
Earthworm Jim;Shiny Entertainment;Playmates Interactive;1994
Earthworm Jim 2;Shiny Entertainment;Playmates Interactive;1995
Edo no Kiba;Riot;Micro World;ased
Eek! The Cat;CTA Developments;Ocean Software;1994
Elfaria;Red Company;Hudson Soft;ased
Elfaria 2: The Quest of the Meld;Red Company;Hudson Soft;ased
Elite Soccer;Rage Software;Coconuts Japan;1994
Emerald Dragon;Alfa System;MediaWorks;ased
EMIT Vol. 1;Koei;Koei;ased
EMIT Vol. 2;Koei;Koei;ased
EMIT Vol. 3;Koei;Koei;ased
Emmitt Smith Football;Bitmasters;JVC Musical Industries;1995
